Age,Experience,Skill,RushFactor,WorkStart,WorkDuration,WorkEnd,HomeLat,HomeLng,WorkLat,WorkLng,Distance,RouteDistance,PreviousAccidents,Accidents
30,9.5,1.531,1.285,10,10,20,59.9672,30.4031,59.9387,30.3736,3567.657,11496.160,0,0
45,16.2,1.402,0.990,10,8,18,59.8258,30.2215,59.9916,30.6565,30460.032,93336.287,4,1
24,3.6,0.714,1.733,7,8,15,59.9646,30.3458,59.9284,30.4015,5084.256,15401.085,2,0
53,16.3,1.647,0.932,11,11,22,59.9673,30.3148,59.9384,30.3925,5389.670,13920.487,0,0
53,16.5,1.099,0.989,8,6,14,59.7025,30.3959,60.0168,30.4072,34957.815,98963.226,4,2
33,14.4,1.619,1.144,11,10,21,60.0105,30.4186,60.0119,30.2455,9621.921,23204.669,1,0
32,8.0,1.363,1.078,7,9,16,59.8540,30.3943,59.9379,30.2695,11637.550,29522.352,1,0
33,10.1,1.391,1.194,9,8,17,59.9733,30.3942,60.0519,30.3551,9005.779,24247.498,0,0
79,32.1,1.398,0.606,7,10,17,59.7199,30.0714,59.7323,30.4143,19270.784,45514.403,0,0
19,1.1,0.607,2.309,11,8,19,60.0293,30.4266,60.0161,30.3900,2508.413,7831.920,4,0
29,6.6,0.924,1.427,8,5,13,59.9400,30.2856,59.9513,30.3039,1625.893,5273.863,0,0
26,5.5,0.843,1.493,7,11,18,59.8383,30.5037,59.8285,30.1753,18385.981,49010.818,3,2
42,16.9,1.287,0.834,10,7,17,59.9007,30.3703,59.9167,30.3468,2213.033,5729.443,0,0
66,17.2,1.755,0.713,7,8,15,59.8971,30.4284,59.8933,30.3582,3933.374,13642.096,0,0
54,22.9,1.696,0.728,9,9,18,59.8778,30.3854,59.8387,30.3347,5184.115,14190.872,1,0
31,9.2,1.089,1.267,14,12,2,59.9087,30.4744,59.8509,30.2399,14575.351,58591.075,4,0
20,0.9,0.675,1.512,10,8,18,59.9662,30.4103,59.9372,30.2415,9936.498,24517.423,3,0
47,17.6,1.210,0.821,15,9,0,60.0470,30.4015,59.9313,30.2892,14294.898,34110.662,1,0
22,3.2,0.910,1.533,10,10,20,59.9551,30.2427,59.8511,30.2510,11571.387,29934.212,1,0
30,13.4,1.399,1.347,10,6,16,59.9326,30.4143,59.9408,30.3440,4021.055,11012.571,0,0
62,15.4,1.440,0.528,10,7,17,60.0109,30.0034,60.0049,30.7765,42977.515,138337.972,1,1
30,10.7,1.550,1.184,9,10,19,59.8958,30.4059,60.0153,30.3634,13498.497,34057.930,0,0
31,9.0,1.463,0.976,11,7,18,59.8752,30.4447,59.8524,30.3534,5685.535,12005.345,0,0
62,21.7,1.371,0.885,7,7,14,60.0128,30.2561,60.0662,30.3485,7842.805,20461.265,1,1
43,11.2,1.428,0.929,17,7,0,60.0485,30.4287,59.9717,30.2938,11361.306,33279.827,0,0
40,11.3,1.081,0.813,15,11,2,59.8973,30.4731,59.9420,30.2670,12518.534,30140.528,1,0
39,7.1,0.924,0.721,15,11,2,59.9324,30.4088,60.0487,30.3548,13275.703,32883.855,0,0
26,3.9,0.890,1.578,7,10,17,59.8898,30.4500,60.0033,30.3671,13438.502,32594.582,1,0
56,15.1,1.607,0.765,9,8,17,60.0414,30.3395,59.9346,30.3127,11966.007,29763.108,0,0
30,7.8,1.207,1.309,10,8,18,59.8692,30.3971,59.8817,30.9895,33092.994,79667.195,5,0
35,11.9,1.102,1.128,8,8,16,59.8531,30.1494,60.0388,30.4614,26992.519,104107.460,2,1
37,12.4,1.724,1.012,15,8,23,60.0339,30.3318,59.9997,30.3280,3813.633,9466.323,1,0
58,19.8,1.524,0.646,7,11,18,59.8558,30.2149,59.9279,30.2472,8213.141,30450.011,1,0
51,19.7,1.585,0.748,16,10,2,59.9593,30.3256,59.9444,30.3672,2845.873,8901.998,0,0
35,7.4,1.162,1.095,9,9,18,59.8756,30.2672,59.5594,30.1314,35973.129,83036.096,5,1
33,14.0,1.207,1.254,10,7,17,60.0161,30.2760,59.9833,30.3122,4163.668,13462.353,0,0
74,26.3,1.408,0.623,10,9,19,60.1212,30.1410,59.9663,30.4751,25310.878,69843.386,0,0
